date,total_events,conflict_war_count,econ_policy_count,government_political_count,civil_unrest_protest_count,diplomatic_relations_count,avg_goldstein_scale,avg_tone
2005-06-02,19,9,15,4,0,0,-2.0526315789473686,-6.1769140582087525
2005-06-03,15,6,11,4,0,0,-0.74666666666666659,-4.9861596066395615
2005-06-04,24,5,11,8,0,5,1.6541666666666663,0.13446950305390337
2005-06-05,16,9,11,4,1,0,-3.8312500000000003,-2.2874693353727724
2005-06-06,17,9,12,5,0,0,-2.6294117647058828,-2.350007167452012
2005-06-07,15,4,6,9,0,0,1.54,0.14460423497392064
2005-06-08,11,7,10,1,0,0,-4.2363636363636363,-1.8541435024517554
2005-06-09,7,2,6,1,0,0,0.5,-0.64012744482554873
2005-06-10,14,6,12,2,0,0,-0.77142857142857146,-0.96492315713614429
2005-06-11,12,2,10,2,0,0,3.6166666666666667,-2.6613020616863841
2005-06-12,14,1,7,6,1,0,3.907142857142857,-1.0053843893236345
2005-06-13,7,2,5,2,0,0,1.0,-0.94250960069562861
2005-06-14,11,6,7,4,0,0,-3.5363636363636362,-2.6627715720451861
2005-06-15,11,2,2,9,0,0,3.709090909090909,1.5502826618675174
2005-06-16,12,5,5,3,0,4,-1.333333333333333,-3.4194015809383442
2005-06-17,26,5,9,15,2,0,1.392307692307692,-0.51507748975079959
2005-06-18,20,3,8,10,0,2,2.685,0.81458919288052334
2005-06-19,12,1,7,5,0,0,4.5166666666666666,-0.78529088515038925
2005-06-20,8,0,3,3,0,2,5.3500000000000005,2.0850671523890538
2005-06-21,8,3,3,5,0,0,-1.625,-5.4428475554199
2005-06-22,5,1,4,1,0,0,4.16,-2.75674659707418
2005-06-23,7,0,3,0,4,0,-0.54285714285714248,0.31521253969839441
2005-06-24,10,0,3,7,0,0,4.7400000000000011,1.6573481913504839
2005-06-25,21,0,10,10,0,1,5.4190476190476184,1.4017885024356465
2005-06-26,23,2,6,15,0,2,2.7130434782608694,0.83266297114824794
2005-06-27,10,0,4,6,0,0,5.52,0.58354461896855
2005-06-28,9,2,2,4,1,2,-0.18888888888888888,-3.3404610458537487
2005-06-29,3,0,1,1,0,1,6.2,2.45051789560045
2005-06-30,10,0,3,4,0,3,6.54,-0.46353818555992909
2005-07-01,10,0,2,5,2,1,4.0799999999999992,-0.629851812765127
2005-07-02,10,5,7,2,0,1,-2.18,-2.3760735755694649
2005-07-03,15,10,13,1,0,1,-4.84,-0.36417469452946083
2005-07-04,15,1,4,4,0,7,4.8800000000000008,-1.6296392664331338
2005-07-05,5,0,2,1,0,2,5.56,-5.9575526756292163
2005-07-06,8,0,4,4,0,0,4.95,0.65087399807751889
2005-07-07,7,0,2,3,0,2,4.6,1.6025278983846913
2005-07-08,18,0,9,7,0,2,6.1222222222222218,-0.22991302794605659
2005-07-09,13,4,7,6,0,0,0.58461538461538465,-1.3003021741947856
2005-07-10,7,1,4,3,0,0,3.2,0.35565079477882144
2005-07-11,17,9,13,4,0,0,-2.5235294117647054,-0.71665356028137583
2005-07-12,10,2,4,6,0,0,2.08,-1.8453627253677629
2005-07-13,7,0,3,4,0,0,5.0285714285714285,-2.8142823178226544
2005-07-14,17,0,4,13,0,0,5.68235294117647,-1.9531934446088597
2005-07-15,24,2,8,16,0,0,5.166666666666667,-2.8997628735952321
2005-07-16,14,2,8,6,0,0,3.6857142857142855,-1.7521673452135944
2005-07-17,14,3,8,6,0,0,1.8142857142857145,-0.39891169929374715
2005-07-18,63,11,17,2,0,44,1.882539682539683,-1.5042112540409878
2005-07-19,22,8,11,9,0,2,0.19090909090909086,-0.82315734403422691
2005-07-20,9,6,7,2,0,0,-5.1222222222222227,-5.1501362264538164
2005-07-21,16,2,13,2,0,1,3.9375,-2.2482192207174805
2005-07-22,14,0,3,5,0,6,4.7285714285714286,-1.0310944058191378
2005-07-23,13,0,3,9,0,1,4.3307692307692305,0.013569904684438749
2005-07-24,23,9,16,6,0,1,-0.52173913043478259,-1.3274260695804194
2005-07-25,17,5,10,6,0,1,1.141176470588235,-1.7917238360392871
2005-07-26,19,4,8,7,0,4,2.1157894736842104,-2.6477908904897998
2005-07-27,18,5,11,7,0,0,0.94444444444444442,-0.93536079393692106
2005-07-28,10,0,7,3,0,0,6.12,-2.6618506216700677
2005-07-29,18,8,13,4,0,1,-1.0222222222222226,-2.04439514768284
2005-07-30,23,5,10,9,0,4,1.6043478260869568,0.13713852496238671
2005-07-31,16,3,6,6,2,2,0.80000000000000027,-0.22068549859825609
