window_months,start_date,end_date,length_months,avg_corr,max_corr,min_corr
2,2000-01-01,2000-02-01,2,1.0,1.0,1.0
2,2000-03-01,2000-07-01,5,-0.4999999999999869,1.0000000000000087,-1.0000000000000093
2,2000-08-01,2000-10-01,3,1.000000000000576,1.0000000000010427,1.000000000000109
2,2000-11-01,2003-03-01,29,-inf,1.0000000000377125,-inf
2,2003-04-01,2003-07-01,4,-0.3333333334058903,0.9999999999998312,-1.0000000002173814
2,2003-08-01,2004-01-01,6,-0.599999999991722,1.0000000000422022,-1.000000000000799
2,2004-02-01,2004-03-01,2,1.0000000000014502,1.0000000000014502,1.0000000000014502
2,2004-05-01,2004-06-01,2,-0.999999999999048,-0.999999999999048,-0.999999999999048
2,2004-07-01,2004-08-01,2,-1.0000000000007592,-1.0000000000007592,-1.0000000000007592
2,2004-09-01,2004-10-01,2,0.9999999999998767,0.9999999999998767,0.9999999999998767
2,2004-12-01,2005-06-01,7,0.3333333338606373,1.0000000031657592,-1.0000000000012343
2,2005-08-01,2005-09-01,2,0.999999999999979,0.999999999999979,0.999999999999979
2,2005-10-01,2006-02-01,5,inf,inf,-0.9999999999999367
2,2006-03-01,2006-08-01,6,-0.2000000000018219,0.999999999999812,-1.0000000000095395
2,2006-09-01,2007-01-01,5,inf,inf,1.0000000000003142
2,2007-02-01,2007-04-01,3,5.12201392410816e-13,1.000000000000058,-0.9999999999990336
2,2007-05-01,2009-09-01,29,-inf,1.0000000023587334,-inf
2,2009-10-01,2011-07-01,22,0.23809523809709016,1.0000000000144331,-1.0000000000116427
2,2011-08-01,2012-10-01,15,-0.2857142856801643,1.0000000005365859,-1.0000000000211968
2,2012-11-01,2012-12-01,2,-1.0000000000009925,-1.0000000000009925,-1.0000000000009925
2,2013-01-01,2014-08-01,20,0.4736842105354448,1.0000000001084497,-1.0000000000127698
2,2014-09-01,2014-11-01,3,-2.450817326860033e-12,1.0000000000064926,-1.0000000000113942
2,2014-12-01,2016-09-01,22,inf,inf,-1.000000000610508
2,2016-10-01,2018-01-01,16,inf,inf,-1.0000000006681602
2,2018-03-01,2019-03-01,13,inf,inf,-1.0000000000133944
3,2000-01-01,2000-04-01,4,0.6427336357707717,0.7280902296341436,0.5573770419073998
3,2000-04-01,2000-06-01,3,-0.8390799160222979,-0.8390799160222979,-0.8390799160222979
3,2000-06-01,2000-12-01,7,0.46576242797371686,0.948359442329707,-0.8059651544089571
3,2000-12-01,2001-12-01,13,-0.06734403787553847,0.9631541538563346,-0.9972017695038482
3,2001-12-01,2002-03-01,4,-0.8865314058923914,-0.7743543396655573,-0.9987084721192256
3,2002-03-01,2002-05-01,3,0.9958379328509005,0.9958379328509005,0.9958379328509005
3,2002-06-01,2002-10-01,5,-0.13759070378695504,0.8592060222771897,-0.7011819972195561
3,2002-10-01,2003-07-01,10,-0.006842155650261333,0.9612159752351199,-0.9644204091944346
3,2003-07-01,2004-01-01,7,-0.9320827544919548,-0.8466871990277643,-0.9903310483334934
3,2004-02-01,2004-04-01,3,0.6236037228544171,0.6236037228544171,0.6236037228544171
3,2004-05-01,2004-11-01,7,-0.1338852073298695,0.9769185012822802,-0.8844429335877421
3,2004-11-01,2005-02-01,4,0.7475540669850644,0.9915240206624524,0.5035841133076765
3,2005-02-01,2005-04-01,3,-0.8363395360667677,-0.8363395360667677,-0.8363395360667677
3,2005-04-01,2006-02-01,11,-inf,0.9125265238113489,-inf
3,2006-02-01,2006-04-01,3,0.9989296648154278,0.9989296648154278,0.9989296648154278
3,2006-04-01,2006-06-01,3,-0.8048069990306878,-0.8048069990306878,-0.8048069990306878
3,2006-06-01,2006-10-01,5,0.3437266060322431,0.8870364610143451,-0.5646775105049125
3,2006-10-01,2007-02-01,5,0.6793370836664113,0.9822920892520218,0.5051307673453788
3,2007-03-01,2007-06-01,4,-0.8740050835184909,-0.8671274693392235,-0.8808826976977585
3,2007-06-01,2008-03-01,10,0.83878135067932,0.9991325677845387,0.5038615649215256
3,2008-03-01,2008-07-01,5,-0.268435964252523,0.9579218259028025,-0.9767993651771609
3,2008-07-01,2008-11-01,5,-0.9386751853868639,-0.8587773171924564,-0.9808170768808708
3,2008-11-01,2009-04-01,6,0.44618903579392377,0.9953620871698114,-0.981103068548931
3,2009-04-01,2009-07-01,4,0.9861085339421152,0.9930949218188506,0.9791221460653798
3,2009-07-01,2010-02-01,8,-0.22861423816852974,0.9943862255946733,-0.93853060824891
3,2010-02-01,2010-06-01,5,-0.97511914571919,-0.9429889889336612,-0.9968465924312874
3,2010-06-01,2011-02-01,9,0.5494207761101599,0.9999967113409624,-0.5712461922630782
3,2011-02-01,2011-10-01,9,0.6723303597771476,0.9988076278978961,-0.5298295376251732
3,2011-11-01,2012-02-01,4,0.8833032554846161,0.9499830286980646,0.8166234822711675
3,2012-02-01,2012-06-01,5,-0.9215383604978314,-0.8031567346645488,-0.9895801238898857
3,2012-07-01,2013-04-01,10,-0.05086495132035962,0.9871828685352251,-0.9999768429181258
3,2013-04-01,2013-06-01,3,-0.948292281207216,-0.948292281207216,-0.948292281207216
3,2013-07-01,2013-10-01,4,-0.9412737699191613,-0.9368913018073555,-0.9456562380309671
3,2013-10-01,2014-10-01,13,0.8842020209417382,0.9999785847554743,0.659687170158325
3,2014-10-01,2015-02-01,5,0.31038891213655967,0.9555634679255139,-0.8725803927776197
3,2015-02-01,2015-04-01,3,-0.8271878474588308,-0.8271878474588308,-0.8271878474588308
3,2015-07-01,2015-09-01,3,0.9956406653486681,0.9956406653486681,0.9956406653486681
